Class_0,Class_1,Class_2,Class_3,Class_4
0.003600010182708502,0.5643947124481201,0.41796472668647766,0.013422722928225994,0.0006178560433909297
0.0007927537080831826,0.001871368964202702,0.40627604722976685,0.5846027135848999,0.006457109935581684
0.0005856076022610068,0.0007678761030547321,0.7093253135681152,0.28879421949386597,0.0005269671673886478
0.0007304133614525199,0.0008812256855890155,0.05830360949039459,0.9392348527908325,0.0008498962270095944
0.0007194300997070968,0.0027282279916107655,0.07694040238857269,0.8932889699935913,0.02632300928235054
0.019991839304566383,0.2368091344833374,0.4887593388557434,0.2517572343349457,0.002682482125237584
0.7093406319618225,0.26617318391799927,0.022314103320240974,0.0016430000541731715,0.0005290565313771367
0.00207966985180974,0.9501489996910095,0.04652746394276619,0.0010826961370185018,0.00016115188191179186
0.001853772671893239,0.7160203456878662,0.28100666403770447,0.000941272999625653,0.00017796529573388398
0.027561746537685394,0.9392565488815308,0.031932611018419266,0.0010820796014741063,0.0001670442143222317
0.006140994839370251,0.6532555818557739,0.33577558398246765,0.004481337033212185,0.00034648957080207765
0.08282996714115143,0.6994863152503967,0.212614044547081,0.002662265207618475,0.002407362684607506
0.2847878336906433,0.6204779148101807,0.08996608108282089,0.004168069455772638,0.000600125000346452
0.0006268120487220585,0.16112640500068665,0.8303242325782776,0.007376862224191427,0.0005457153310999274
0.669233500957489,0.3221766948699951,0.007523823529481888,0.0005309921107254922,0.0005349786370061338
0.8050636053085327,0.18504206836223602,0.008902925066649914,0.0006818818510510027,0.00030958722345530987
0.7192912101745605,0.26367416977882385,0.015923138707876205,0.0008376392652280629,0.0002738383482210338
0.9760845303535461,0.022735320031642914,0.0005845290725119412,0.0005167858907952905,7.889900734880939e-05
0.9460007548332214,0.04334050044417381,0.009859354235231876,0.0005677075823768973,0.00023166643222793937
0.022449661046266556,0.9441840648651123,0.03273271396756172,0.0004985863924957812,0.00013497108011506498
0.604387640953064,0.3653063178062439,0.02907712198793888,0.0008851983584463596,0.0003436741535551846
0.987517774105072,0.011152524501085281,0.0007538263453170657,0.00045449472963809967,0.00012136495934100822
0.0003634513122960925,0.0004898810293525457,0.1805305927991867,0.816797137260437,0.0018188969697803259
0.003147740848362446,0.023774970322847366,0.5128948092460632,0.45901811122894287,0.0011643776670098305
0.00024114205734804273,0.00035346817458048463,0.0027438935358077288,0.1462341696023941,0.8504272699356079
0.0011036694049835205,0.024306369945406914,0.7990373969078064,0.1749979555606842,0.000554621743503958
0.0001974275364773348,0.007861457765102386,0.9890332221984863,0.00284564052708447,6.219564966158941e-05
0.0005261678015813231,0.0029371825512498617,0.012907818891108036,0.9813736081123352,0.0022552397567778826
0.7932122945785522,0.20508255064487457,0.0011944194557145238,0.0003432863741181791,0.0001674458326306194
0.000531574769411236,0.0012764324201270938,0.9248324632644653,0.07281595468521118,0.0005435909843072295
0.006547898519784212,0.97686767578125,0.015744756907224655,0.0006925608613528311,0.0001471542927902192
0.021397516131401062,0.044304803013801575,0.9316695332527161,0.0023141808342188597,0.0003139988402836025
0.9303438067436218,0.0657392218708992,0.0035085282288491726,0.00021968114015180618,0.00018874988018069416
0.7917886972427368,0.20435543358325958,0.002835867926478386,0.0005565554602071643,0.00046345891314558685
0.011040693148970604,0.7349366545677185,0.24182792007923126,0.011714978143572807,0.00047972469474188983
0.0009561082115396857,0.9480392932891846,0.05001416057348251,0.00089042674517259,0.00010007160744862631
0.9984361529350281,0.0010924199596047401,0.0002848182921297848,0.00015036863624118268,3.621734867920168e-05
0.9986605644226074,0.001145967748016119,0.00013030938862357289,4.277452171663754e-05,2.0379715351737104e-05
0.0004678742843680084,0.001379164052195847,0.9876036643981934,0.010376904159784317,0.00017236205167137086
0.47784358263015747,0.518767774105072,0.0027214763686060905,0.00042676882003434,0.00024041578581091017
0.4286153316497803,0.5624520778656006,0.006930928211659193,0.0013438889291137457,0.0006577239255420864
2.7284308089292608e-05,5.5693490139674395e-05,0.00024132191902026534,0.0030770511366426945,0.9965986609458923
0.0013410141691565514,0.0010059078922495246,0.23045679926872253,0.7662220597267151,0.0009742775582708418
0.00042289821431040764,0.5268313884735107,0.47082990407943726,0.0017889159498736262,0.00012686365516856313
0.000468738580821082,0.001101013389416039,0.058035653084516525,0.763844907283783,0.17654970288276672
0.9978544116020203,0.0013717547990381718,0.0006010690703988075,9.668529673945159e-05,7.599764649057761e-05
0.9978424310684204,0.0019029160030186176,0.0001618981477804482,5.598610732704401e-05,3.677879067254253e-05
0.0009720167727209628,0.005628171842545271,0.6993030309677124,0.29359322786331177,0.0005035353824496269
5.602242526947521e-05,0.00016119179781526327,0.00046723775449208915,0.004710013512521982,0.9946056008338928
0.0026194602251052856,0.035946402698755264,0.9609653949737549,0.00027914324891753495,0.00018961339083034545
0.999259889125824,0.0005341080250218511,0.0001555600465508178,3.0082122975727543e-05,2.040634171862621e-05
0.06258930265903473,0.9077076315879822,0.019666582345962524,0.00955855380743742,0.00047798556624911726
0.010876978747546673,0.0692136362195015,0.9149138331413269,0.004460698924958706,0.0005348784034140408
0.0006044680485501885,0.002925996668636799,0.9743459224700928,0.021999699994921684,0.00012394750956445932
