P_None,P_Low,P_Med,P_High,P_VeryHigh,RowId
0.8596078632759765,0.0960306443618453,0.030719199641417526,0.012332493389657192,0.001309799331103679,1
0.1358434611925916,0.3852249381216418,0.34335827629480115,0.10855283343456179,0.02702049095640382,2
0.8824790897035847,0.1016201410635238,0.011692828507235683,0.0038955597732747925,0.0003123809523809524,3
0.0017446238244514106,0.035861531092522284,0.30786662401898923,0.6362904397233713,0.018236781340665652,4
0.3774043361472679,0.4627822710857492,0.1388477717149396,0.015582066665253743,0.005383554386789681,5
0.008043082262622684,0.1514798003790227,0.6888281781925987,0.13896660402946628,0.012682335136289857,6
0.12777170626628293,0.20372625328076546,0.4904533502786147,0.1303931254972283,0.04765556467710903,7
0.01607452998135362,0.2224054766603741,0.565157148716963,0.18450195213512272,0.011860892506186623,8
0.5018216498582435,0.2921371290213783,0.15087640691871151,0.032592721404543314,0.022572092797123754,9
0.01205230374604942,0.16586911826969936,0.6534125108423569,0.16002876840053842,0.008637298741356015,10
0.8032981148935932,0.16363791849142287,0.023365939367287345,0.008886503780910148,0.0008115234667866247,11
0.7722931779761073,0.16022601048704938,0.04162095832711749,0.012777690561572411,0.013082162648153359,12
0.015885909333111552,0.10286800602261581,0.629796794522054,0.2202724730986391,0.031176817023579696,13
0.0063786298622384606,0.05931760019074034,0.29950320366382804,0.6161040110186717,0.018696555264521124,14
0.007224272591900689,0.034308295204832646,0.4510819023503957,0.4724380494533138,0.03494748039955742,15
0.006082602506065833,0.05382343337059381,0.18113410814011002,0.6303945094909202,0.12856534649231016,16
0.7301396323962063,0.23187994464455372,0.029832672637437108,0.006689213683003156,0.0014585366387997966,17
0.00426591391578896,0.031389367883229616,0.22331653238415297,0.6932885699456142,0.04773961587121447,18
0.08931646902412944,0.43134731491441575,0.40394059816450734,0.06566121691172178,0.009734400985225697,19
0.7853861544695817,0.18749613813282667,0.023829689131928795,0.002918062550879602,0.00036995571478330095,20
0.8655443414189719,0.11885705193472562,0.012925096676893812,0.00187273156908451,0.0008007784003240393,21
0.4786568979292742,0.4622285381050316,0.052034073000694826,0.005003108347616822,0.0020773826173826173,22
0.1806532924057344,0.5028492060355012,0.25805273188167943,0.04153040107549466,0.016914368601590297,23
0.8211944906988838,0.14698513049024817,0.023868242771812438,0.007542311477652035,0.0004098245614035088,24
0.004761280502287838,0.14212079386127982,0.6883295276702774,0.15682548858758932,0.00796290937856559,25
0.06014409366417406,0.18511689306934004,0.5729528197939076,0.15882971272545993,0.022956480747118736,26
0.0017886800032383104,0.03208943812105028,0.36202315197246626,0.5581330021092792,0.045965727793966134,27
0.8798130547748932,0.10928790817211065,0.009368215950098749,0.0013250240014479582,0.00020579710144927538,28
0.8766903719192207,0.10590008637545552,0.01442004155082011,0.002782833487836845,0.00020666666666666668,29
0.0014103070604500033,0.014973143029535941,0.1958538845148371,0.7252772709988986,0.06248539439627856,30
